dataset,model,defense,metric,mean,std,ci_low,ci_high,n_seeds
Cora,GraphSAGE,sami,test_accuracy,0.8807,0.005832666628567091,0.8764399999999999,0.88514,5
Cora,GraphSAGE,sami,conf_attack_auc,0.5737,0.010258411183024415,0.56534,0.58098,5
Cora,GraphSAGE,sami,lira_attack_auc,0.53876,0.010323419975957603,0.5310825,0.5462400000000001,5
Cora,GraphSAGE,sami,ece_test,0.09712,0.0077872973488881244,0.09078,0.1033245,5
Cora,GraphSAGE,sami,lira_tpr_at_0.01_fpr,0.02364,0.0051301072113553335,0.019200000000000002,0.027339999999999996,5
Cora,GraphSAGE,sami_no_adv,test_accuracy,0.87184,0.007773866476856924,0.86592,0.8775695000000001,5
Cora,GraphSAGE,sami_no_adv,conf_attack_auc,0.58392,0.009065153059932276,0.57662,0.5904999999999999,5
Cora,GraphSAGE,sami_no_adv,lira_attack_auc,0.5448999999999999,0.011307077429645561,0.53612,0.55362,5
Cora,GraphSAGE,sami_no_adv,ece_test,0.09164,0.007366681749607485,0.08592,0.0973615,5
Cora,GraphSAGE,sami_no_adv,lira_tpr_at_0.01_fpr,0.02196,0.008278164047661777,0.01552,0.02878,5
Cora,GraphSAGE,sami_no_gate,test_accuracy,0.88308,0.003929631025936133,0.8801400000000001,0.8860199999999999,5
Cora,GraphSAGE,sami_no_gate,conf_attack_auc,0.5739799999999999,0.010181453727243469,0.56572,0.5810799999999999,5
Cora,GraphSAGE,sami_no_gate,lira_attack_auc,0.53874,0.01096394089732336,0.529175,0.547038,5
Cora,GraphSAGE,sami_no_gate,ece_test,0.0994,0.007190271204899019,0.0944,0.10562200000000001,5
Cora,GraphSAGE,sami_no_gate,lira_tpr_at_0.01_fpr,0.02418,0.010403701264453917,0.01642,0.03194,5
Cora,GraphSAGE,sami_no_lte,test_accuracy,0.7719199999999999,0.006446471903297159,0.76658,0.77634,5
Cora,GraphSAGE,sami_no_lte,conf_attack_auc,0.5713600000000001,0.005451880409546782,0.5675,0.57572,5
Cora,GraphSAGE,sami_no_lte,lira_attack_auc,0.6022999999999998,0.017456660619946766,0.5884305,0.6146999999999999,5
Cora,GraphSAGE,sami_no_lte,ece_test,0.1809,0.008235289915965316,0.17482000000000003,0.1871,5
Cora,GraphSAGE,sami_no_lte,lira_tpr_at_0.01_fpr,0.026779999999999998,0.003133209217399949,0.024379999999999995,0.029000000000000005,5
Cora,GraphSAGE,sami_temp_only,test_accuracy,0.8783200000000001,0.0076129494941185516,0.87242,0.8836605000000001,5
Cora,GraphSAGE,sami_temp_only,conf_attack_auc,0.62474,0.009149207615963257,0.6175200000000001,0.63136,5
Cora,GraphSAGE,sami_temp_only,lira_attack_auc,0.5545,0.010797453403465081,0.54642,0.5635199999999999,5
Cora,GraphSAGE,sami_temp_only,ece_test,0.021380000000000003,0.0029852973051272473,0.01908,0.0237,5
Cora,GraphSAGE,sami_temp_only,lira_tpr_at_0.01_fpr,0.0312,0.005293392107146418,0.026600000000000002,0.03452,5
Cora,LogReg,none,test_accuracy,0.73924,0.013506405887577958,0.72872,0.7499399999999999,5
Cora,LogReg,none,conf_attack_auc,0.7273799999999999,0.012271796934434639,0.71874,0.73682,5
Cora,LogReg,none,lira_attack_auc,0.5949000000000001,0.009987742487669593,0.5865400000000001,0.6025,5
Cora,LogReg,none,ece_test,0.03468,0.009840579251243292,0.02666,0.04154,5
Cora,LogReg,none,lira_tpr_at_0.01_fpr,0.03822,0.006241554293603477,0.033240000000000006,0.0432,5
Cora,MLP,none,test_accuracy,0.7266999999999999,0.019885673234768756,0.7102600000000001,0.74222,5
Cora,MLP,none,conf_attack_auc,0.7910600000000001,0.008361997369050045,0.78488,0.7974,5
Cora,MLP,none,lira_attack_auc,0.617,0.011959724077084734,0.60754,0.6254485,5
Cora,MLP,none,ece_test,0.14679999999999999,0.02019046804806664,0.1318,0.16414,5
Cora,MLP,none,lira_tpr_at_0.01_fpr,0.044500000000000005,0.009211948762341222,0.03802,0.052259999999999994,5
PubMed,GCN,dropedge,test_accuracy,0.86532,0.002766224864323231,0.8631800000000001,0.8674605000000001,5
