dataset,model,defense,baseline,metric,delta_mean,delta_std,ci_low,ci_high,n_seeds
synthetic_low_sparse,GraphSAGE,gtd,none,lira_attack_auc,-0.0007199999999999984,0.007587621498203512,-0.006440000000000001,0.0050000000000000044,5
Citeseer,GCN,label_smoothing,none,lira_attack_auc,0.007599999999999984,0.003623534186398736,0.00479999999999996,0.010720000000000018,5
Citeseer,GraphSAGE,label_smoothing,none,lira_attack_auc,0.014879999999999982,0.005046979294587962,0.011099999999999999,0.01851999999999996,5
Cora,GCN,label_smoothing,none,lira_attack_auc,0.009599999999999987,0.00394461658466323,0.00651999999999997,0.012340000000000018,5
Cora,GraphSAGE,label_smoothing,none,lira_attack_auc,0.02390000000000001,0.004028647415696703,0.020500000000000053,0.026759999999999985,5
PubMed,GCN,label_smoothing,none,lira_attack_auc,-0.0011400000000000078,0.0016949926253526872,-0.002482000000000001,-1.1102230246251566e-17,5
PubMed,GraphSAGE,label_smoothing,none,lira_attack_auc,-0.0015200000000000324,0.0018552627846210967,-0.0029200000000000337,-4.00000000000178e-05,5
synthetic_high_dense,GCN,label_smoothing,none,lira_attack_auc,0.0071000000000000065,0.015695222202950825,-0.0035800000000000055,0.019620000000000037,5
synthetic_high_dense,GraphSAGE,label_smoothing,none,lira_attack_auc,0.01077999999999999,0.015723453819056387,-0.0007199999999999874,0.02383999999999995,5
synthetic_low_medium,GCN,label_smoothing,none,lira_attack_auc,0.0007999999999999896,0.004588027898781787,-0.0025599999999999954,0.004820000000000002,5
synthetic_low_medium,GraphSAGE,label_smoothing,none,lira_attack_auc,0.0015399999999999969,0.0324257305237677,-0.020019999999999993,0.02864000000000002,5
synthetic_low_sparse,GCN,label_smoothing,none,lira_attack_auc,0.0005000000000000004,0.006557819759645713,-0.004559999999999986,0.005560499999999984,5
synthetic_low_sparse,GraphSAGE,label_smoothing,none,lira_attack_auc,0.00023999999999999578,0.010229027324237602,-0.00783999999999998,0.008319999999999972,5
Citeseer,GCN,dropedge,none,lira_attack_auc,-0.0022399999999999976,0.003844866707702628,-0.004939999999999967,0.0009000000000000119,5
Citeseer,GraphSAGE,dropedge,none,lira_attack_auc,0.009399999999999986,0.006046900032247906,0.0043199999999999905,0.01367999999999996,5
Cora,GCN,dropedge,none,lira_attack_auc,-0.0024399999999999535,0.004561578674099571,-0.005519999999999947,0.0015000000000000347,5
Cora,GraphSAGE,dropedge,none,lira_attack_auc,0.008079999999999999,0.007153460700947468,0.0028400000000000205,0.013579999999999991,5
PubMed,GCN,dropedge,none,lira_attack_auc,-0.0008399999999999852,0.0018474306482247336,-0.002300000000000002,0.0005800000000000249,5
PubMed,GraphSAGE,dropedge,none,lira_attack_auc,-0.001960000000000006,0.0011081516141756363,-0.0028005000000000243,-0.0011199999999999878,5
synthetic_high_dense,GCN,dropedge,none,lira_attack_auc,-0.00042000000000000923,0.009086088267235797,-0.006700000000000017,0.006759999999999977,5
synthetic_high_dense,GraphSAGE,dropedge,none,lira_attack_auc,-0.002960000000000007,0.0037300134048016296,-0.006179999999999986,-0.00024000000000001798,5
synthetic_low_medium,GCN,dropedge,none,lira_attack_auc,0.007619999999999993,0.007904239368845033,0.0020600000000000063,0.013619999999999976,5
synthetic_low_medium,GraphSAGE,dropedge,none,lira_attack_auc,0.0031200000000000004,0.025523067997401866,-0.015980000000000005,0.022419999999999975,5
