dataset,model,defense,seed,homophily,density,feature_snr,h_target,rho_target,conf_attack_auc,test_accuracy,is_gcn
synth_h0.8_r0.02_snr0.25,GCN,none,123,0.7994987368583679,0.02,0.25,0.8,0.02,0.5731497418244407,1.0,1.0
synth_h0.8_r0.02_snr0.25,GraphSAGE,none,42,0.7994987368583679,0.02,0.25,0.8,0.02,0.4960100140823032,1.0,0.0
synth_h0.8_r0.02_snr0.25,GraphSAGE,none,123,0.7994987368583679,0.02,0.25,0.8,0.02,0.588327335315287,1.0,0.0
synth_h0.8_r0.02_snr1.0,GCN,none,42,0.7994987368583679,0.02,1.0,0.8,0.02,0.46236895634486,1.0,1.0
synth_h0.8_r0.02_snr1.0,GCN,none,123,0.7994987368583679,0.02,1.0,0.8,0.02,0.5360663432952589,1.0,1.0
synth_h0.8_r0.02_snr1.0,GraphSAGE,none,42,0.7994987368583679,0.02,1.0,0.8,0.02,0.481145360663433,1.0,0.0
synth_h0.8_r0.02_snr1.0,GraphSAGE,none,123,0.7994987368583679,0.02,1.0,0.8,0.02,0.5466280707244563,1.0,0.0
synth_h0.8_r0.02_snr2.5,GCN,none,42,0.7994987368583679,0.02,2.5,0.8,0.02,0.4561101549053357,1.0,1.0
synth_h0.8_r0.02_snr2.5,GCN,none,123,0.7994987368583679,0.02,2.5,0.8,0.02,0.52605226099202,0.99375,1.0
synth_h0.8_r0.02_snr2.5,GraphSAGE,none,42,0.7994987368583679,0.02,2.5,0.8,0.02,0.5079799718353936,1.0,0.0
synth_h0.8_r0.02_snr2.5,GraphSAGE,none,123,0.7994987368583679,0.02,2.5,0.8,0.02,0.5233922703802222,1.0,0.0
synth_h0.8_r0.04_snr0.25,GCN,none,42,0.7998120188713074,0.04,0.25,0.8,0.04,0.5091534971053042,1.0,1.0
synth_h0.8_r0.04_snr0.25,GCN,none,123,0.7998120188713074,0.04,0.25,0.8,0.04,0.5169769989047097,1.0,1.0
synth_h0.8_r0.04_snr0.25,GraphSAGE,none,42,0.7998120188713074,0.04,0.25,0.8,0.04,0.5127523079330308,1.0,0.0
synth_h0.8_r0.04_snr0.25,GraphSAGE,none,123,0.7998120188713074,0.04,0.25,0.8,0.04,0.5185416992645908,1.0,0.0
synth_h0.8_r0.04_snr1.0,GCN,none,42,0.7998120188713074,0.04,1.0,0.8,0.04,0.5011735252699108,1.0,1.0
synth_h0.8_r0.04_snr1.0,GCN,none,123,0.7998120188713074,0.04,1.0,0.8,0.04,0.5080582068533877,1.0,1.0
synth_h0.8_r0.04_snr1.0,GraphSAGE,none,42,0.7998120188713074,0.04,1.0,0.8,0.04,0.5135346581129713,1.0,0.0
synth_h0.8_r0.04_snr1.0,GraphSAGE,none,123,0.7998120188713074,0.04,1.0,0.8,0.04,0.5125176028790487,1.0,0.0
synth_h0.8_r0.04_snr2.5,GCN,none,42,0.7998120188713074,0.04,2.5,0.8,0.04,0.5075887967454232,1.0,1.0
synth_h0.8_r0.04_snr2.5,GCN,none,123,0.7998120188713074,0.04,2.5,0.8,0.04,0.49953058989203575,1.0,1.0
synth_h0.8_r0.04_snr2.5,GraphSAGE,none,42,0.7998120188713074,0.04,2.5,0.8,0.04,0.4848224065091535,1.0,0.0
synth_h0.8_r0.04_snr2.5,GraphSAGE,none,123,0.7998120188713074,0.04,2.5,0.8,0.04,0.4994523548740416,1.0,0.0
