dataset,model,het,sparsity,is_gcn,het_x_gcn,sparsity_x_gcn,snr,snr_x_inv,conf,homophily,density,h_target,rho_target
synth_h0.4_r0.04_snr2.5,GCN,0.600250631570816,0.0,1.0,0.600250631570816,0.0,2.5,0.399999840000064,0.5232358003442341,0.39974936842918396,0.04,0.4,0.04
synth_h0.4_r0.04_snr2.5,GraphSAGE,0.600250631570816,0.0,0.0,0.0,0.0,2.5,0.399999840000064,0.5476060084493819,0.39974936842918396,0.04,0.4,0.04
synth_h0.6_r0.005_snr0.25,GCN,0.40100252628326416,2.0794415416798357,1.0,0.40100252628326416,2.0794415416798357,0.25,3.9999840000640003,0.544711312783602,0.5989974737167358,0.005,0.6,0.005
synth_h0.6_r0.005_snr0.25,GraphSAGE,0.40100252628326416,2.0794415416798357,0.0,0.0,0.0,0.25,3.9999840000640003,0.6715693944609608,0.5989974737167358,0.005,0.6,0.005
synth_h0.6_r0.005_snr1.0,GCN,0.40100252628326416,2.0794415416798357,1.0,0.40100252628326416,2.0794415416798357,1.0,0.9999990000010001,0.4916679705836332,0.5989974737167358,0.005,0.6,0.005
synth_h0.6_r0.005_snr1.0,GraphSAGE,0.40100252628326416,2.0794415416798357,0.0,0.0,0.0,1.0,0.9999990000010001,0.5147081833828822,0.5989974737167358,0.005,0.6,0.005
synth_h0.6_r0.005_snr2.5,GCN,0.40100252628326416,2.0794415416798357,1.0,0.40100252628326416,2.0794415416798357,2.5,0.399999840000064,0.4622124863088718,0.5989974737167358,0.005,0.6,0.005
synth_h0.6_r0.005_snr2.5,GraphSAGE,0.40100252628326416,2.0794415416798357,0.0,0.0,0.0,2.5,0.399999840000064,0.4815756532624002,0.5989974737167358,0.005,0.6,0.005
synth_h0.6_r0.01_snr0.25,GCN,0.40100252628326416,1.3862943611198904,1.0,0.40100252628326416,1.3862943611198904,0.25,3.9999840000640003,0.5478798310123612,0.5989974737167358,0.01,0.6,0.01
synth_h0.6_r0.01_snr0.25,GraphSAGE,0.40100252628326416,1.3862943611198904,0.0,0.0,0.0,0.25,3.9999840000640003,0.6436394930370835,0.5989974737167358,0.01,0.6,0.01
synth_h0.6_r0.01_snr1.0,GCN,0.40100252628326416,1.3862943611198904,1.0,0.40100252628326416,1.3862943611198904,1.0,0.9999990000010001,0.5258957909560319,0.5989974737167358,0.01,0.6,0.01
synth_h0.6_r0.01_snr1.0,GraphSAGE,0.40100252628326416,1.3862943611198904,0.0,0.0,0.0,1.0,0.9999990000010001,0.5303551869816929,0.5989974737167358,0.01,0.6,0.01
synth_h0.6_r0.01_snr2.5,GCN,0.40100252628326416,1.3862943611198904,1.0,0.40100252628326416,1.3862943611198904,2.5,0.399999840000064,0.5444374902206227,0.5989974737167358,0.01,0.6,0.01
synth_h0.6_r0.01_snr2.5,GraphSAGE,0.40100252628326416,1.3862943611198904,0.0,0.0,0.0,2.5,0.399999840000064,0.5363792833672352,0.5989974737167358,0.01,0.6,0.01
synth_h0.6_r0.02_snr0.25,GCN,0.40037596225738525,0.6931471805599454,1.0,0.40037596225738525,0.6931471805599454,0.25,3.9999840000640003,0.5124393678610545,0.5996240377426147,0.02,0.6,0.02
synth_h0.6_r0.02_snr0.25,GraphSAGE,0.40037596225738525,0.6931471805599454,0.0,0.0,0.0,0.25,3.9999840000640003,0.5575809732436239,0.5996240377426147,0.02,0.6,0.02
synth_h0.6_r0.02_snr1.0,GCN,0.40037596225738525,0.6931471805599454,1.0,0.40037596225738525,0.6931471805599454,1.0,0.9999990000010001,0.5624315443592552,0.5996240377426147,0.02,0.6,0.02
synth_h0.6_r0.02_snr1.0,GraphSAGE,0.40037596225738525,0.6931471805599454,0.0,0.0,0.0,1.0,0.9999990000010001,0.459552495697074,0.5996240377426147,0.02,0.6,0.02
synth_h0.6_r0.02_snr2.5,GCN,0.40037596225738525,0.6931471805599454,1.0,0.40037596225738525,0.6931471805599454,2.5,0.399999840000064,0.55210452198404,0.5996240377426147,0.02,0.6,0.02
synth_h0.6_r0.02_snr2.5,GraphSAGE,0.40037596225738525,0.6931471805599454,0.0,0.0,0.0,2.5,0.399999840000064,0.4539586919104992,0.5996240377426147,0.02,0.6,0.02
synth_h0.6_r0.04_snr0.25,GCN,0.4000626802444458,0.0,1.0,0.4000626802444458,0.0,0.25,3.9999840000640003,0.5081364418713816,0.5999373197555542,0.04,0.6,0.04
synth_h0.6_r0.04_snr0.25,GraphSAGE,0.4000626802444458,0.0,0.0,0.0,0.0,0.25,3.9999840000640003,0.5761226725082147,0.5999373197555542,0.04,0.6,0.04
synth_h0.6_r0.04_snr1.0,GCN,0.4000626802444458,0.0,1.0,0.4000626802444458,0.0,1.0,0.9999990000010001,0.5041464559536848,0.5999373197555542,0.04,0.6,0.04
synth_h0.6_r0.04_snr1.0,GraphSAGE,0.4000626802444458,0.0,0.0,0.0,0.0,1.0,0.9999990000010001,0.4642857142857143,0.5999373197555542,0.04,0.6,0.04
synth_h0.6_r0.04_snr2.5,GCN,0.4000626802444458,0.0,1.0,0.4000626802444458,0.0,2.5,0.399999840000064,0.4936629635424816,0.5999373197555542,0.04,0.6,0.04
synth_h0.6_r0.04_snr2.5,GraphSAGE,0.4000626802444458,0.0,0.0,0.0,0.0,2.5,0.399999840000064,0.46878422782037243,0.5999373197555542,0.04,0.6,0.04
synth_h0.8_r0.005_snr0.25,GCN,0.20050126314163208,2.0794415416798357,1.0,0.20050126314163208,2.0794415416798357,0.25,3.9999840000640003,0.5127914254420278,0.7994987368583679,0.005,0.8,0.005
synth_h0.8_r0.005_snr0.25,GraphSAGE,0.20050126314163208,2.0794415416798357,0.0,0.0,0.0,0.25,3.9999840000640003,0.5557815678297606,0.7994987368583679,0.005,0.8,0.005
synth_h0.8_r0.005_snr1.0,GCN,0.20050126314163208,2.0794415416798357,1.0,0.20050126314163208,2.0794415416798357,1.0,0.9999990000010001,0.4646768893756846,0.7994987368583679,0.005,0.8,0.005
synth_h0.8_r0.005_snr1.0,GraphSAGE,0.20050126314163208,2.0794415416798357,0.0,0.0,0.0,1.0,0.9999990000010001,0.4731653888280394,0.7994987368583679,0.005,0.8,0.005
synth_h0.8_r0.005_snr2.5,GCN,0.20050126314163208,2.0794415416798357,1.0,0.20050126314163208,2.0794415416798357,2.5,0.399999840000064,0.4627601314348302,0.7994987368583679,0.005,0.8,0.005
synth_h0.8_r0.005_snr2.5,GraphSAGE,0.20050126314163208,2.0794415416798357,0.0,0.0,0.0,2.5,0.399999840000064,0.46303395399780944,0.7994987368583679,0.005,0.8,0.005
synth_h0.8_r0.01_snr0.25,GCN,0.20050126314163208,1.3862943611198904,1.0,0.20050126314163208,1.3862943611198904,0.25,3.9999840000640003,0.5185416992645908,0.7994987368583679,0.01,0.8,0.01
synth_h0.8_r0.01_snr0.25,GraphSAGE,0.20050126314163208,1.3862943611198904,0.0,0.0,0.0,0.25,3.9999840000640003,0.5895008605851979,0.7994987368583679,0.01,0.8,0.01
synth_h0.8_r0.01_snr1.0,GCN,0.20050126314163208,1.3862943611198904,1.0,0.20050126314163208,1.3862943611198904,1.0,0.9999990000010001,0.4662807072445627,0.7994987368583679,0.01,0.8,0.01
synth_h0.8_r0.01_snr1.0,GraphSAGE,0.20050126314163208,1.3862943611198904,0.0,0.0,0.0,1.0,0.9999990000010001,0.5360663432952589,0.7994987368583679,0.01,0.8,0.01
synth_h0.8_r0.01_snr2.5,GCN,0.20050126314163208,1.3862943611198904,1.0,0.20050126314163208,1.3862943611198904,2.5,0.399999840000064,0.47250039117508996,0.7994987368583679,0.01,0.8,0.01
synth_h0.8_r0.01_snr2.5,GraphSAGE,0.20050126314163208,1.3862943611198904,0.0,0.0,0.0,2.5,0.399999840000064,0.5145908308558911,0.7994987368583679,0.01,0.8,0.01
synth_h0.8_r0.02_snr0.25,GCN,0.20050126314163208,0.6931471805599454,1.0,0.20050126314163208,0.6931471805599454,0.25,3.9999840000640003,0.5165858238147395,0.7994987368583679,0.02,0.8,0.02
synth_h0.8_r0.02_snr0.25,GraphSAGE,0.20050126314163208,0.6931471805599454,0.0,0.0,0.0,0.25,3.9999840000640003,0.5421686746987951,0.7994987368583679,0.02,0.8,0.02
synth_h0.8_r0.02_snr1.0,GCN,0.20050126314163208,0.6931471805599454,1.0,0.20050126314163208,0.6931471805599454,1.0,0.9999990000010001,0.49921764982005945,0.7994987368583679,0.02,0.8,0.02
synth_h0.8_r0.02_snr1.0,GraphSAGE,0.20050126314163208,0.6931471805599454,0.0,0.0,0.0,1.0,0.9999990000010001,0.5138867156939446,0.7994987368583679,0.02,0.8,0.02
synth_h0.8_r0.02_snr2.5,GCN,0.20050126314163208,0.6931471805599454,1.0,0.20050126314163208,0.6931471805599454,2.5,0.399999840000064,0.4910812079486778,0.7994987368583679,0.02,0.8,0.02
synth_h0.8_r0.02_snr2.5,GraphSAGE,0.20050126314163208,0.6931471805599454,0.0,0.0,0.0,2.5,0.399999840000064,0.5156861211078079,0.7994987368583679,0.02,0.8,0.02
synth_h0.8_r0.04_snr0.25,GCN,0.20018798112869263,0.0,1.0,0.20018798112869263,0.0,0.25,3.9999840000640003,0.513065248005007,0.7998120188713074,0.04,0.8,0.04
synth_h0.8_r0.04_snr0.25,GraphSAGE,0.20018798112869263,0.0,0.0,0.0,0.0,0.25,3.9999840000640003,0.5156470035988108,0.7998120188713074,0.04,0.8,0.04
synth_h0.8_r0.04_snr1.0,GCN,0.20018798112869263,0.0,1.0,0.20018798112869263,0.0,1.0,0.9999990000010001,0.5046158660616492,0.7998120188713074,0.04,0.8,0.04
synth_h0.8_r0.04_snr1.0,GraphSAGE,0.20018798112869263,0.0,0.0,0.0,0.0,1.0,0.9999990000010001,0.51302613049601,0.7998120188713074,0.04,0.8,0.04
synth_h0.8_r0.04_snr2.5,GCN,0.20018798112869263,0.0,1.0,0.20018798112869263,0.0,2.5,0.399999840000064,0.5035596933187295,0.7998120188713074,0.04,0.8,0.04
synth_h0.8_r0.04_snr2.5,GraphSAGE,0.20018798112869263,0.0,0.0,0.0,0.0,2.5,0.399999840000064,0.4921373806915975,0.7998120188713074,0.04,0.8,0.04
