dataset,model,defense,metric,mean_none,mean_def,mean_diff,ci_low,ci_high,cohens_d,p_val,n_seeds,p_val_corrected,significant
Cora,GraphSAGE,epsd_ablation,test_accuracy,0.88048,0.88048,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,epsd_ablation,test_auroc,0.9842200000000002,0.9842200000000002,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,epsd_ablation,conf_attack_auc,0.62928,0.62928,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,epsd_ablation,threshold_attack_auc,0.6275800000000001,0.6275800000000001,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,epsd_ablation,shadow_attack_auc,0.62736,0.62736,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,epsd_ablation,label_only_attack_auc,0.60516,0.60516,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,dp_sgd,test_accuracy,0.88048,0.8641,-0.01637999999999997,-0.020851197403903468,-0.011908802596096474,-4.317858547824872,0.0005262047774552499,5,0.013443139134871617,True
Cora,GraphSAGE,dp_sgd,test_auroc,0.9842200000000002,0.97956,-0.00466000000000002,-0.006640055069668294,-0.002679944930331746,-1.4196368935445405,0.0028341266979570946,5,0.04000968354272491,True
Cora,GraphSAGE,dp_sgd,conf_attack_auc,0.62928,0.5469,-0.08238000000000001,-0.08910071787129191,-0.07565928212870811,-6.752096107785092,4.447077888500686e-06,5,0.0005545574721142091,True
Cora,GraphSAGE,dp_sgd,threshold_attack_auc,0.6275800000000001,0.5464,-0.08118,-0.0907675437584923,-0.0715924562415077,-11.585504089476716,1.940919042511729e-05,5,0.001100873627891648,True
Cora,GraphSAGE,dp_sgd,shadow_attack_auc,0.62736,0.54426,-0.08310000000000002,-0.1107946746002141,-0.055405325399785946,-6.424741363012914,0.0011344098171244602,5,0.024567061187276334,True
Cora,GraphSAGE,dp_sgd,label_only_attack_auc,0.60516,0.53054,-0.07461999999999999,-0.09904378649860164,-0.05019621350139834,-5.649861575178956,0.001058821648305715,5,0.024395250776963674,True
synthetic_high_dense,GCN,epsd_tuned,test_accuracy,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5,1.0,False
synthetic_high_dense,GCN,epsd_tuned,test_auroc,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5,1.0,False
synthetic_high_dense,GCN,epsd_tuned,conf_attack_auc,0.51684,0.51684,0.0,0.0,0.0,0.0,1.0,5,1.0,False
synthetic_high_dense,GCN,epsd_tuned,threshold_attack_auc,0.5047,0.5047,0.0,0.0,0.0,0.0,1.0,5,1.0,False
